item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1185,112,1,2238.39,0
2,385,397,4,502.47,30
3,774,108,2,2857.37,15
4,1392,190,5,2442.27,0
5,34,258,3,2458.06,10
6,256,333,6,2997.15,25
7,848,181,4,2485.42,15
8,873,59,5,2779.41,15
9,940,91,4,1660.5,15
10,334,196,5,858.66,20
11,1351,325,6,853.33,20
12,1271,413,1,2512.52,0
13,184,316,6,2797.83,0
14,213,475,4,1636.48,50
15,1298,298,4,2418.58,30
16,1368,109,-3,672.52,20
17,932,59,5,590.7,20
18,962,496,1,2382.28,15
19,951,4,4,2819.15,20
20,459,138,5,2639.42,10
21,542,345,3,728.46,20
22,850,14,1,464.36,0
23,767,163,5,1008.59,50
24,1172,285,4,2920.6,5
25,395,425,5,159.49,20
26,1184,481,4,1910.64,0
27,1492,463,2,957.78,20
28,325,51,4,2131.52,5
29,259,324,5,1732.92,0
30,803,429,6,1660.95,10
31,661,48,2,81.79,0
32,24,79,6,88.32,50
33,1450,293,5,1150.3,0
34,268,96,4,722.97,15
35,455,275,3,2522.17,5
36,1488,338,4,159.99,10
37,170,327,2,2954.47,0
38,212,475,1,1789.7,25
39,220,135,2,2684.34,10
40,191,433,1,1087.38,25
41,426,252,-4,2387.35,0
42,848,492,1,1878.92,25
43,431,193,6,2669.69,20
44,1298,93,4,899.77,0
45,366,324,6,1821.93,50
46,65,178,1,1454.31,15
47,1258,3,5,479.37,30
48,522,311,1,93.52,5
49,48,390,5,461.28,30
50,748,16,1,985.98,5
51,451,138,1,824.63,0
52,409,363,1,1656.73,15
53,603,224,4,1540.41,25
54,820,89,2,597.64,10
55,1470,53,3,1753.03,20
56,1204,407,3,621.47,0
57,1479,453,4,1341.24,20
58,1222,418,6,959.65,10
59,221,220,-5,603.16,20
60,723,231,3,505.91,0
61,70,301,5,1232.38,10
62,1237,181,6,1197.93,30
63,235,220,2,2373.73,15
64,733,111,2,1972.58,0
65,762,63,2,33.85,15
66,1410,110,1,1398.8,15
67,659,34,2,1159.84,30
68,1233,112,2,313.25,30
69,570,485,6,2650.66,50
70,1375,458,1,1940.58,50
71,1398,417,4,963.76,15
72,404,256,1,145.14,25
73,563,64,4,1361.09,0
74,1232,197,3,713.08,50
75,44,330,3,2351.0,0
