order_id,customer_id,order_date,status,region_code
1,280,2025-09-07 02:38:56,DELIVERED,C
2,,2026-03-02 15:53:34,SHIPPED,W
3,230,2026-05-11 12:40:50,PLACED,N
4,146,2024-05-09 21:09:06,DELIVERED,E
5,4,2026-04-16 03:50:18,RETURNED,S
6,439,2025-03-26 13:16:42,PLACED,E
7,471,2026-07-02 14:34:36,DELIVERED,C
8,475,2025-09-28 00:49:48,SHIPPED,N
9,236,2026-05-22 11:17:27,SHIPPED,E
10,188,2026-03-05 12:38:47,SHIPPED,E
11,416,2025-02-19 09:43:38,PLACED,W
12,292,2025-04-17 06:02:08,DELIVERED,E
13,406,2026-05-31 02:26:41,SHIPPED,C
14,420,2026-07-14 15:01:42,PLACED,E
15,20,2026-05-20 22:17:01,DELIVERED,N
16,472,2026-05-30 19:11:03,SHIPPED,W
17,214,2023-11-24 06:29:31,RETURNED,S
18,383,2026-05-15 12:57:37,RETURNED,W
19,28,2025-11-14 19:03:34,DELIVERED,E
20,277,2025-11-22 11:27:13,PLACED,C
21,358,2025-10-22 21:20:14,SHIPPED,W
22,498,2025-07-14 15:15:34,CANCELLED,C
23,259,2025-07-23 02:20:52,SHIPPED,E
24,403,2025-06-27 22:21:36,PLACED,E
25,43,2025-11-02 20:08:34,DELIVERED,N
26,281,2025-08-22 07:44:07,SHIPPED,W
27,,2025-02-18 13:19:18,DELIVERED,S
28,391,2026-04-28 15:35:38,DELIVERED,S
29,250,2025-04-13 13:33:46,DELIVERED,S
30,288,2026-07-11 22:54:29,SHIPPED,N
31,137,2025-03-12 01:53:42,SHIPPED,C
32,46,2023-11-16 16:30:20,DELIVERED,W
33,188,2025-09-04 21:24:23,SHIPPED,E
34,305,2026-02-12 00:22:24,PLACED,E
35,87,2025-11-25 10:05:00,DELIVERED,W
36,320,2024-11-03 04:08:44,DELIVERED,S
37,103,2025-09-10 08:24:37,SHIPPED,N
38,58,2026-07-10 08:55:24,PLACED,C
39,,2023-08-18 09:48:01,RETURNED,E
40,8,2026-01-29 04:36:30,DELIVERED,N
41,157,2026-01-15 06:14:02,DELIVERED,E
42,108,2026-06-14 19:09:29,SHIPPED,C
43,268,2025-08-13 08:30:54,DELIVERED,C
44,374,2025-10-12 02:12:20,DELIVERED,N
45,193,2026-06-23 20:52:38,RETURNED,C
46,23,2025-10-17 08:51:50,SHIPPED,E
47,103,2025-04-04 01:28:00,PLACED,N
48,35,2025-04-07 01:36:50,DELIVERED,E
49,443,2025-06-19 03:33:00,PLACED,W
50,119,2026-03-03 19:31:15,DELIVERED,N
51,463,2025-07-15 22:14:42,DELIVERED,C
52,273,2025-04-21 00:41:35,SHIPPED,C
53,495,2025-01-08 02:05:15,DELIVERED,N
54,21,2024-07-08 15:27:47,RETURNED,E
55,171,2025-10-11 21:19:49,DELIVERED,S
56,10,2026-05-19 14:07:56,DELIVERED,E
57,321,2025-07-20 16:50:38,SHIPPED,C
58,142,2026-03-23 03:13:36,PLACED,E
59,450,2026-07-11 02:40:08,RETURNED,N
60,484,2025-06-12 19:56:59,SHIPPED,E
61,460,2026-06-30 13:14:00,DELIVERED,N
62,374,2026-01-13 15:10:50,DELIVERED,C
63,447,2026-07-02 16:47:45,DELIVERED,W
64,124,2025-11-23 21:25:10,SHIPPED,E
65,,2025-07-29 09:47:16,SHIPPED,C
66,,2023-07-24 16:49:16,SHIPPED,S
67,298,2026-07-06 08:54:01,DELIVERED,S
68,442,2026-04-25 07:49:22,SHIPPED,C
69,466,2025-01-17 11:55:52,DELIVERED,S
70,336,2025-01-05 18:43:05,SHIPPED,C
71,273,2025-05-14 14:46:04,SHIPPED,S
72,373,2023-04-27 10:09:26,CANCELLED,W
73,493,2026-03-29 21:02:45,SHIPPED,E
74,78,2025-02-05 01:00:45,PLACED,S
75,14,2026-07-14 07:26:45,RETURNED,C
76,137,2025-12-09 18:27:18,DELIVERED,S
77,306,2026-01-23 10:36:31,SHIPPED,N
78,184,2025-08-19 23:10:51,DELIVERED,W
79,69,2025-08-12 02:58:42,CANCELLED,W
80,365,2026-04-16 17:51:18,SHIPPED,W
81,252,2026-06-04 23:07:02,PLACED,S
82,116,2025-01-01 09:13:18,DELIVERED,N
83,474,2025-11-07 16:28:14,RETURNED,S
84,381,2026-06-15 00:00:00,RETURNED,S
85,34,2025-03-29 02:31:53,RETURNED,W
86,444,2026-06-10 22:55:55,DELIVERED,W
87,455,2024-05-23 00:42:17,DELIVERED,N
88,312,2025-12-12 16:24:31,DELIVERED,W
89,314,2026-07-11 11:39:22,DELIVERED,C
90,,2025-04-12 21:28:14,DELIVERED,N
91,267,2025-12-25 10:16:35,DELIVERED,N
92,450,2026-07-04 05:52:08,DELIVERED,W
93,377,2024-12-14 09:23:02,DELIVERED,C
94,392,2026-03-25 13:12:02,RETURNED,S
95,150,2025-12-11 00:49:57,DELIVERED,E
96,397,2026-05-28 17:38:46,SHIPPED,S
97,217,2026-05-01 21:50:42,DELIVERED,N
98,354,2026-04-24 17:46:01,RETURNED,W
99,425,2026-06-30 18:17:16,DELIVERED,C
100,58,2025-05-01 13:18:14,CANCELLED,C
101,,2023-07-30 04:35:54,DELIVERED,E
102,231,2024-08-05 18:18:39,SHIPPED,C
103,460,2026-07-16 01:48:47,RETURNED,W
104,47,2024-12-21 12:49:13,SHIPPED,S
105,368,2026-05-29 07:04:07,PLACED,N
106,362,2026-01-30 03:47:06,DELIVERED,N
107,269,2025-12-21 13:36:54,DELIVERED,C
108,314,2026-07-13 13:07:28,SHIPPED,C
109,195,2025-09-12 06:01:43,CANCELLED,E
110,290,2026-07-19 23:56:55,RETURNED,S
111,445,2025-09-28 23:32:33,SHIPPED,N
112,215,2025-03-01 11:33:50,SHIPPED,W
113,148,2026-05-19 04:28:04,SHIPPED,S
114,492,2025-01-07 07:21:36,PLACED,E
115,7,2026-04-04 05:45:03,DELIVERED,W
116,279,2024-11-13 20:59:34,DELIVERED,W
117,122,2025-11-10 13:07:52,DELIVERED,W
118,233,2025-02-18 13:23:02,DELIVERED,C
119,308,2026-01-26 14:17:00,SHIPPED,C
120,143,2026-02-24 00:00:00,DELIVERED,S
121,26,2025-07-10 04:52:11,PLACED,E
122,19,2026-04-03 16:11:13,RETURNED,C
123,430,2026-06-06 21:36:52,SHIPPED,N
124,26,2025-05-12 05:00:56,DELIVERED,S
125,,2023-09-08 15:00:47,DELIVERED,C
