product_id,product_name,category,subcategory,cost_price
1,  fiction lite 1  ,Books,Fiction,346.91
2,Academic Lite 2,Books,Academic,1133.88
3,Mobiles Mini 3,Electronics,Mobiles,1736.89
4,Comics Pro 4,Books,Comics,1370.44
5,Furniture Ultra 5,Home,Furniture,632.4
6,Women Plus 6,Clothing,Women,1858.11
7,Kitchen Eco 7,Home,Kitchen,1670.13
8,Comics Basic 8,Books,Comics,284.2
9,ACCESSORIES PRO 9,Electronics,Accessories,468.13
10,Accessories Eco 10,Electronics,Accessories,1909.94
11,Comics Pro 11,Books,Comics,1568.18
12,Academic Mini 12,Books,Academic,1882.58
13,Non-Fiction Lite 13,Books,Non-Fiction,763.25
14,KITCHEN PLUS 14,Home,Kitchen,539.6
15,Non-Fiction Plus 15,Books,Non-Fiction,724.6
16,Mobiles Classic 16,Electronics,Mobiles,1523.89
17,Laptops Max 17,Electronics,Laptops,900.44
18,FICTION PRO 18,Books,Fiction,1110.67
19,Bedding Pro 19,Home,Bedding,778.66
20,Laptops Eco 20,Electronics,Laptops,1372.21
21,Women Classic 21,Clothing,Women,988.78
22,Laptops Basic 22,Electronics,Laptops,603.01
23,Accessories Classic 23,Electronics,Accessories,1443.19
24,NON-FICTION SMART 24,Books,Non-Fiction,612.79
25,Comics Eco 25,Books,Comics,1725.09
26,Comics Basic 26,Books,Comics,1719.72
27,Kids Deluxe 27,Clothing,Kids,1392.11
28,Comics Ultra 28,Books,Comics,1937.61
29,Bedding Eco 29,Home,Bedding,655.14
30,BEDDING DELUXE 30,Home,Bedding,1129.88
31,Men Plus 31,Clothing,Men,1418.19
32,  comics plus 32  ,Books,Comics,1696.34
33,Academic Ultra 33,Books,Academic,487.83
34,FOOTWEAR BASIC 34,Clothing,Footwear,1981.45
35,Academic Premium 35,Books,Academic,1841.18
36,Fiction Deluxe 36,Books,Fiction,1625.53
37,Mobiles Mini 37,Electronics,Mobiles,713.24
38,Cameras Deluxe 38,Electronics,Cameras,863.76
39,Mobiles Classic 39,Electronics,Mobiles,1494.97
40,Footwear Deluxe 40,Clothing,Footwear,1545.82
41,Kids Pro 41,Clothing,Kids,594.39
42,MOBILES PLUS 42,Electronics,Mobiles,627.22
43,Non-Fiction Premium 43,Books,Non-Fiction,954.94
44,  academic deluxe 44  ,Books,Academic,94.14
45,Mobiles Deluxe 45,Electronics,Mobiles,1355.89
46,Women Premium 46,Clothing,Women,324.47
47,Academic Mini 47,Books,Academic,1261.37
48,  footwear basic 48  ,Clothing,Footwear,1230.14
49,Footwear Eco 49,Clothing,Footwear,13.88
50,Women Classic 50,Clothing,Women,1618.42
51,Mobiles Premium 51,Electronics,Mobiles,655.34
52,Fiction Classic 52,Books,Fiction,981.52
53,Bedding Eco 53,Home,Bedding,232.89
54,Bedding Eco 54,Home,Bedding,1348.81
55,FURNITURE LITE 55,Home,Furniture,240.13
56,Furniture Ultra 56,Home,Furniture,287.01
57,ACADEMIC ECO 57,Books,Academic,770.5
58,Footwear Lite 58,Clothing,Footwear,1838.73
59,Women Smart 59,Clothing,Women,378.26
60,Fiction Deluxe 60,Books,Fiction,971.79
